,#,When,Who,Problem,Lang,Verdict,Time,Memory
302,55310338,Jun/08/2019 20:11,friedrich_hayek,A - Word,GNU C11,Accepted,62 ms,0 KB
303,55310085,Jun/08/2019 20:02,friedrich_hayek,A - New Year and Hurry,GNU C11,Wrong answer on test 5,15 ms,0 KB
304,55303188,Jun/08/2019 15:55,friedrich_hayek,A - Флеш-карты,GNU C11,Accepted,31 ms,0 KB
305,55301535,Jun/08/2019 15:15,friedrich_hayek,A - The New Year: Meeting Friends,GNU C11,Accepted,31 ms,0 KB
306,55300413,Jun/08/2019 14:48,friedrich_hayek,A - Find Divisible,GNU C11,Accepted,15 ms,0 KB
307,55299562,Jun/08/2019 14:25,friedrich_hayek,A - Diverse Team,GNU C11,Accepted,46 ms,0 KB
308,55276821,Jun/07/2019 22:44,friedrich_hayek,A - Nearly Lucky Number,GNU C11,Accepted,62 ms,0 KB
309,55276473,Jun/07/2019 22:29,friedrich_hayek,A1 - Good Matrix Elements,GNU C11,Accepted,60 ms,0 KB
310,55276263,Jun/07/2019 22:20,friedrich_hayek,A - Bear and Reverse Radewoosh,GNU C11,Accepted,31 ms,0 KB
311,55275810,Jun/07/2019 21:58,friedrich_hayek,A - Vitaly and Night,GNU C11,Accepted,31 ms,0 KB
312,55225832,Jun/07/2019 04:10,friedrich_hayek,A - Game,GNU C11,Accepted,31 ms,0 KB
313,55225796,Jun/07/2019 04:08,friedrich_hayek,A - Game,GNU C11,Wrong answer on test 4,15 ms,0 KB
314,55225696,Jun/07/2019 03:59,friedrich_hayek,A - Even Substrings,GNU C11,Accepted,31 ms,0 KB
315,55222985,Jun/07/2019 00:18,friedrich_hayek,B - Teams Forming,GNU C11,Accepted,30 ms,0 KB
316,55222840,Jun/07/2019 00:09,friedrich_hayek,A - Scarborough Fair,GNU C11,Accepted,31 ms,0 KB
317,55209023,Jun/06/2019 16:49,friedrich_hayek,A - The Rank,GNU C11,Accepted,31 ms,0 KB
318,55208657,Jun/06/2019 16:40,friedrich_hayek,A - Repeating Cipher,GNU C11,Accepted,30 ms,0 KB
319,55162429,Jun/05/2019 19:10,friedrich_hayek,A - Black Square,GNU C11,Wrong answer on test 1,15 ms,0 KB
320,55150224,Jun/05/2019 18:25,friedrich_hayek,A - Bachgold Problem,GNU C11,Accepted,171 ms,0 KB
321,55139211,Jun/05/2019 17:56,friedrich_hayek,A - Maximum in Table,GNU C11,Accepted,31 ms,0 KB
322,55129357,Jun/05/2019 17:27,friedrich_hayek,A - Presents,GNU C11,Accepted,62 ms,0 KB
323,55128942,Jun/05/2019 17:14,friedrich_hayek,A - Mahmoud and Ehab and the even-odd game,GNU C11,Accepted,31 ms,0 KB
324,55061350,Jun/04/2019 02:08,friedrich_hayek,A - Bulbs,GNU C11,Accepted,31 ms,0 KB
325,55061203,Jun/04/2019 01:55,friedrich_hayek,A - Mishka and Contest,GNU C11,Accepted,31 ms,0 KB
326,55017782,Jun/03/2019 16:13,friedrich_hayek,A - Remove Duplicates,GNU C11,Accepted,30 ms,0 KB
327,55016521,Jun/03/2019 15:36,friedrich_hayek,A - System Administrator,GNU C11,Accepted,60 ms,0 KB
328,54995531,Jun/03/2019 01:55,friedrich_hayek,A - Greg's Workout,GNU C11,Accepted,62 ms,0 KB
329,54995335,Jun/03/2019 01:38,friedrich_hayek,A - The Doors,GNU C11,Accepted,46 ms,0 KB
330,54995226,Jun/03/2019 01:28,friedrich_hayek,A - Tanya and Stairways,GNU C11,Accepted,31 ms,0 KB
331,54992582,Jun/02/2019 22:56,friedrich_hayek,A - Again Twenty Five!,GNU C11,Accepted,15 ms,0 KB
332,54991476,Jun/02/2019 22:03,friedrich_hayek,A - Between the Offices,GNU C11,Accepted,31 ms,0 KB
333,54991307,Jun/02/2019 21:56,friedrich_hayek,A - Fox And Snake,GNU C11,Accepted,31 ms,0 KB
334,54989723,Jun/02/2019 20:54,friedrich_hayek,A - Infinity Gauntlet,GNU C11,Accepted,31 ms,0 KB
335,54978407,Jun/02/2019 14:55,friedrich_hayek,A - Fingerprints,GNU C11,Accepted,30 ms,0 KB
336,54977117,Jun/02/2019 14:22,friedrich_hayek,A - Points in Segments,GNU C11,Accepted,15 ms,0 KB
337,54951800,Jun/01/2019 22:31,friedrich_hayek,A - Calculating Function,GNU C11,Wrong answer on test 5,15 ms,0 KB
338,54951244,Jun/01/2019 22:18,friedrich_hayek,A - I'm bored with life,GNU C11,Accepted,31 ms,0 KB
339,54950799,Jun/01/2019 22:06,friedrich_hayek,A - Police Recruits,GNU C11,Accepted,31 ms,0 KB
340,54950191,Jun/01/2019 21:53,friedrich_hayek,A - Boy or Girl,GNU C11,Accepted,62 ms,0 KB
341,54892676,Jun/01/2019 00:59,friedrich_hayek,"A - Love ""A""",GNU C11,Accepted,31 ms,0 KB
342,54886894,May/31/2019 20:52,friedrich_hayek,A - Make a triangle!,GNU C11,Accepted,30 ms,0 KB
343,54886612,May/31/2019 20:40,friedrich_hayek,A - Nastya Is Reading a Book,GNU C11,Accepted,31 ms,0 KB
344,54873928,May/31/2019 13:50,friedrich_hayek,A - Dice Rolling,GNU C11,Accepted,31 ms,0 KB
345,54873831,May/31/2019 13:47,friedrich_hayek,A - Dice Rolling,GNU C11,Wrong answer on test 2,15 ms,0 KB
346,54855723,May/30/2019 22:21,friedrich_hayek,A - HQ9+,GNU C11,Accepted,62 ms,0 KB
347,54855692,May/30/2019 22:20,friedrich_hayek,A - HQ9+,GNU C11,Wrong answer on test 3,60 ms,0 KB
348,54855470,May/30/2019 22:11,friedrich_hayek,A - String Task,GNU C11,Accepted,62 ms,0 KB
349,54819708,May/30/2019 03:53,friedrich_hayek,B - File Name,GNU C11,Accepted,31 ms,0 KB
350,54819378,May/30/2019 03:20,friedrich_hayek,A - Polycarp's Pockets,GNU C11,Accepted,31 ms,0 KB
351,54751484,May/28/2019 16:04,friedrich_hayek,A - Black Square,GNU C11,Wrong answer on test 1,31 ms,0 KB
352,54751335,May/28/2019 15:59,friedrich_hayek,A - Black Square,GNU C11,Runtime error on test 4,15 ms,0 KB
353,54731235,May/28/2019 03:20,friedrich_hayek,A - Mishka and Game,GNU C11,Accepted,31 ms,0 KB
354,54731128,May/28/2019 03:09,friedrich_hayek,A - Holiday Of Equality,GNU C11,Accepted,31 ms,0 KB
355,54723979,May/27/2019 22:03,friedrich_hayek,B - Drinks,GNU C11,Accepted,62 ms,0 KB
356,54723529,May/27/2019 21:46,friedrich_hayek,A - Magnets,GNU C11,Accepted,92 ms,1700 KB
357,54723107,May/27/2019 21:32,friedrich_hayek,A - Vanya and Fence,GNU C11,Accepted,31 ms,0 KB
358,54691108,May/26/2019 20:23,friedrich_hayek,A - Restoring Three Numbers,GNU C11,Accepted,15 ms,0 KB
359,54686976,May/26/2019 19:54,friedrich_hayek,A - Hit the Lottery,GNU C11,Accepted,31 ms,0 KB
360,54666359,May/26/2019 16:36,friedrich_hayek,A - Fafa and his Company,GNU C11,Accepted,31 ms,0 KB
361,54665986,May/26/2019 16:23,friedrich_hayek,A - Gennady and a Card Game,GNU C11,Accepted,31 ms,0 KB
362,54665872,May/26/2019 16:20,friedrich_hayek,A - Gennady and a Card Game,GNU C11,Wrong answer on test 1,0 ms,0 KB
363,54642830,May/25/2019 23:45,friedrich_hayek,A - In Search of an Easy Problem,GNU C11,Accepted,31 ms,0 KB
364,54642661,May/25/2019 23:37,friedrich_hayek,A - Wrong Subtraction,GNU C11,Accepted,30 ms,0 KB
365,54637445,May/25/2019 20:48,friedrich_hayek,A - Anton and Polyhedrons,GNU C11,Accepted,77 ms,6500 KB
366,54621485,May/25/2019 15:29,friedrich_hayek,A - Stones on the Table,GNU C11,Accepted,62 ms,0 KB
367,54573735,May/25/2019 00:21,friedrich_hayek,A - Vasya the Hipster,GNU C11,Accepted,31 ms,0 KB
368,54564689,May/24/2019 18:44,friedrich_hayek,A - I_love_\%username\%,GNU C11,Accepted,62 ms,0 KB
369,54564291,May/24/2019 18:32,friedrich_hayek,A - Hulk,GNU C11,Accepted,31 ms,0 KB
370,54556002,May/24/2019 14:39,friedrich_hayek,A - Anton and Danik,GNU C11,Accepted,15 ms,100 KB
371,54536319,May/23/2019 23:28,friedrich_hayek,A - Translation,GNU C11,Accepted,62 ms,0 KB
372,54536051,May/23/2019 23:14,friedrich_hayek,A - Beautiful Year,GNU C11,Accepted,30 ms,0 KB
373,54500292,May/22/2019 23:20,friedrich_hayek,A - Magnets,GNU C11,Wrong answer on test 1,30 ms,0 KB
374,54453298,May/21/2019 17:35,friedrich_hayek,A - Calculating Function,GNU C11,Wrong answer on test 5,31 ms,0 KB
375,54453147,May/21/2019 17:32,friedrich_hayek,A - Bear and Big Brother,GNU C11,Accepted,31 ms,0 KB
376,54453122,May/21/2019 17:31,friedrich_hayek,A - Bear and Big Brother,GNU C11,Wrong answer on test 1,15 ms,0 KB
377,54453100,May/21/2019 17:30,friedrich_hayek,A - Bear and Big Brother,GNU C11,Compilation error,0 ms,0 KB
378,54452817,May/21/2019 17:23,friedrich_hayek,A - Arrival of the General,GNU C11,Accepted,62 ms,0 KB
379,54418403,May/20/2019 16:59,friedrich_hayek,A - Nearly Lucky Number,GNU C11,Wrong answer on test 7,30 ms,0 KB
380,54418372,May/20/2019 16:58,friedrich_hayek,A - Nearly Lucky Number,GNU C11,Wrong answer on test 3,62 ms,0 KB
381,54418353,May/20/2019 16:57,friedrich_hayek,A - Nearly Lucky Number,GNU C11,Wrong answer on test 1,30 ms,0 KB
382,54402922,May/20/2019 06:02,friedrich_hayek,A - Word,GNU C11,Wrong answer on test 2,30 ms,0 KB
383,54402909,May/20/2019 06:01,friedrich_hayek,A - Word,GNU C11,Wrong answer on test 1,30 ms,0 KB
384,54402836,May/20/2019 05:56,friedrich_hayek,A - Word,GNU C11,Wrong answer on test 1,30 ms,0 KB
385,54402693,May/20/2019 05:45,friedrich_hayek,A - Elephant,GNU C11,Accepted,31 ms,0 KB
386,54397928,May/20/2019 01:20,friedrich_hayek,A - George and Accommodation,GNU C11,Accepted,31 ms,0 KB
387,54397692,May/20/2019 01:00,friedrich_hayek,A - cAPS lOCK,GNU C11,Accepted,31 ms,0 KB
388,54397669,May/20/2019 00:57,friedrich_hayek,A - cAPS lOCK,GNU C11,Wrong answer on test 2,31 ms,0 KB
389,54397656,May/20/2019 00:56,friedrich_hayek,A - cAPS lOCK,GNU C11,Wrong answer on test 2,30 ms,0 KB
390,54397652,May/20/2019 00:55,friedrich_hayek,A - cAPS lOCK,GNU C11,Compilation error,0 ms,0 KB
391,54391586,May/19/2019 19:41,friedrich_hayek,A - HQ9+,GNU C11,Wrong answer on test 10,30 ms,0 KB
392,54391485,May/19/2019 19:37,friedrich_hayek,A - HQ9+,GNU C11,Wrong answer on test 10,30 ms,0 KB
393,54391375,May/19/2019 19:33,friedrich_hayek,A - HQ9+,GNU C11,Wrong answer on test 10,62 ms,0 KB
394,54391331,May/19/2019 19:31,friedrich_hayek,A - HQ9+,GNU C11,Wrong answer on test 1,30 ms,0 KB
395,54391065,May/19/2019 19:20,friedrich_hayek,A - Tram,GNU C11,Accepted,62 ms,0 KB
396,54385421,May/19/2019 16:06,friedrich_hayek,A - Beautiful Matrix,GNU C11,Accepted,62 ms,0 KB
397,54385310,May/19/2019 16:03,friedrich_hayek,A - Beautiful Matrix,GNU C11,Wrong answer on test 1,30 ms,0 KB
398,54385257,May/19/2019 16:01,friedrich_hayek,A - Beautiful Matrix,GNU C11,Wrong answer on test 1,30 ms,0 KB
399,54385207,May/19/2019 16:00,friedrich_hayek,A - Beautiful Matrix,GNU C11,Wrong answer on test 1,30 ms,0 KB
400,54385188,May/19/2019 15:59,friedrich_hayek,A - Beautiful Matrix,GNU C11,Wrong answer on test 1,30 ms,0 KB
401,54361459,May/19/2019 00:00,friedrich_hayek,A - Young Physicist,GNU C11,Accepted,62 ms,0 KB
402,54361329,May/18/2019 23:54,friedrich_hayek,A - Soldier and Bananas,GNU C11,Accepted,31 ms,0 KB
403,54361234,May/18/2019 23:49,friedrich_hayek,A - Lucky Division,GNU C11,Accepted,62 ms,0 KB
404,54361134,May/18/2019 23:44,friedrich_hayek,A - Lucky Division,GNU C11,Runtime error on test 1,30 ms,0 KB
405,54361091,May/18/2019 23:42,friedrich_hayek,A - Lucky Division,GNU C11,Runtime error on test 1,0 ms,0 KB
406,54361037,May/18/2019 23:40,friedrich_hayek,A - Lucky Division,GNU C11,Wrong answer on test 3,60 ms,0 KB
407,54361006,May/18/2019 23:39,friedrich_hayek,A - Lucky Division,GNU C11,Runtime error on test 1,0 ms,0 KB
408,54359851,May/18/2019 22:50,friedrich_hayek,A - Word Capitalization,GNU C11,Accepted,62 ms,0 KB
409,54359684,May/18/2019 22:43,friedrich_hayek,A - Football,GNU C11,Accepted,62 ms,0 KB
410,54359628,May/18/2019 22:41,friedrich_hayek,A - Football,GNU C11,Wrong answer on test 41,62 ms,0 KB
411,54359538,May/18/2019 22:38,friedrich_hayek,A - Football,GNU C11,Runtime error on test 1,30 ms,0 KB
412,54359501,May/18/2019 22:37,friedrich_hayek,A - Football,GNU C11,Runtime error on test 1,30 ms,0 KB
413,54359467,May/18/2019 22:35,friedrich_hayek,A - Football,GNU C11,Runtime error on test 1,30 ms,0 KB
414,54359400,May/18/2019 22:33,friedrich_hayek,A - Football,GNU C11,Runtime error on test 1,30 ms,0 KB
415,54358927,May/18/2019 22:17,friedrich_hayek,A - Petya and Strings,GNU C11,Accepted,62 ms,0 KB
416,54358430,May/18/2019 21:59,friedrich_hayek,A - Bit++,GNU C11,Accepted,31 ms,100 KB
417,54358375,May/18/2019 21:57,friedrich_hayek,A - Bit++,GNU C11,Runtime error on test 1,15 ms,0 KB
418,54358353,May/18/2019 21:56,friedrich_hayek,A - Bit++,GNU C11,Wrong answer on test 2,15 ms,0 KB
419,54358320,May/18/2019 21:55,friedrich_hayek,A - Bit++,GNU C11,Wrong answer on test 2,15 ms,0 KB
420,54358267,May/18/2019 21:54,friedrich_hayek,A - Bit++,GNU C11,Wrong answer on test 2,15 ms,0 KB
421,54358237,May/18/2019 21:52,friedrich_hayek,A - Bit++,GNU C11,Wrong answer on test 2,15 ms,0 KB
422,54358191,May/18/2019 21:51,friedrich_hayek,A - Bit++,GNU C11,Compilation error,0 ms,0 KB
423,54023987,May/12/2019 14:27,friedrich_hayek,A - String Task,GNU C11,Compilation error,0 ms,0 KB
424,54023865,May/12/2019 14:23,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 2,30 ms,0 KB
425,54023724,May/12/2019 14:18,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 2,30 ms,0 KB
426,54023697,May/12/2019 14:18,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 1,30 ms,0 KB
427,54023628,May/12/2019 14:15,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 2,30 ms,0 KB
428,54023581,May/12/2019 14:14,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 1,30 ms,0 KB
429,54023522,May/12/2019 14:12,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 2,30 ms,0 KB
430,54023481,May/12/2019 14:11,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 1,92 ms,0 KB
431,54023439,May/12/2019 14:09,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 1,30 ms,0 KB
432,54023403,May/12/2019 14:08,friedrich_hayek,A - String Task,GNU C11,Wrong answer on test 1,60 ms,0 KB
433,54023231,May/12/2019 14:02,friedrich_hayek,A - String Task,GNU C11,Compilation error,0 ms,0 KB
434,54002611,May/11/2019 20:25,friedrich_hayek,A - Next Round,GNU C11,Accepted,62 ms,0 KB
435,54002484,May/11/2019 20:20,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 6,62 ms,0 KB
436,54002450,May/11/2019 20:18,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 1,30 ms,0 KB
437,54002376,May/11/2019 20:15,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 1,30 ms,0 KB
438,54002312,May/11/2019 20:12,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 1,30 ms,0 KB
439,54002291,May/11/2019 20:12,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 1,0 ms,0 KB
440,54002206,May/11/2019 20:08,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 3,60 ms,0 KB
441,54002137,May/11/2019 20:05,friedrich_hayek,A - Next Round,GNU C11,Wrong answer on test 1,30 ms,0 KB
442,53997674,May/11/2019 18:27,friedrich_hayek,A - Way Too Long Words,GNU C11,Accepted,31 ms,0 KB
443,53997535,May/11/2019 18:23,friedrich_hayek,A - Way Too Long Words,GNU C11,Runtime error on test 1,15 ms,0 KB
444,53997511,May/11/2019 18:22,friedrich_hayek,A - Way Too Long Words,GNU C11,Compilation error,0 ms,0 KB
445,53997465,May/11/2019 18:21,friedrich_hayek,A - Way Too Long Words,GNU C11,Compilation error,0 ms,0 KB
446,53972007,May/11/2019 01:10,friedrich_hayek,A - Theatre Square,GNU C11,Wrong answer on test 1,15 ms,0 KB
447,53971962,May/11/2019 01:07,friedrich_hayek,A - Theatre Square,GNU C11,Wrong answer on test 9,31 ms,0 KB
448,53971930,May/11/2019 01:05,friedrich_hayek,A - Theatre Square,GNU C11,Wrong answer on test 9,31 ms,0 KB
449,53971858,May/11/2019 01:00,friedrich_hayek,A - Theatre Square,GNU C11,Wrong answer on test 2,15 ms,0 KB
450,53971684,May/11/2019 00:51,friedrich_hayek,A - Watermelon,GNU C11,Accepted,62 ms,0 KB
451,53971608,May/11/2019 00:46,friedrich_hayek,A - Watermelon,GNU C11,Wrong answer on test 5,60 ms,0 KB
452,53971548,May/11/2019 00:43,friedrich_hayek,A - Watermelon,GNU C11,Compilation error,0 ms,0 KB
